17.01.25
Start: Time: 09:33 OCV: 4.2V Load-V: 3.7xxV
End: Time: 14:06 OCV: 3.463V Load-V: 2.845V

Ready to receive

0: raw: 825, soc: 93, lbo: 0
236: raw: 661, soc: 25, lbo: 0

237: raw: 694, soc: 39, lbo: 0

237: raw: 658, soc: 24, lbo: 0

238: raw: 694, soc: 39, lbo: 0

238: raw: 660, soc: 25, lbo: 0

239: raw: 693, soc: 38, lbo: 0

239: raw: 661, soc: 25, lbo: 0

240: raw: 693, soc: 38, lbo: 0

240: raw: 661, soc: 25, lbo: 0

241: raw: 692, soc: 38, lbo: 0

241: raw: 660, soc: 25, lbo: 0

242: raw: 691, soc: 37, lbo: 0

242: raw: 662, soc: 25, lbo: 0

243: raw: 691, soc: 37, lbo: 0

243: raw: 657, soc: 23, lbo: 0

244: raw: 690, soc: 37, lbo: 0

244: raw: 659, soc: 24, lbo: 0

245: raw: 690, soc: 37, lbo: 0

245: raw: 657, soc: 23, lbo: 0

246: raw: 689, soc: 37, lbo: 0

246: raw: 656, soc: 23, lbo: 0

247: raw: 689, soc: 37, lbo: 0

247: raw: 660, soc: 25, lbo: 0

248: raw: 688, soc: 36, lbo: 0

248: raw: 657, soc: 23, lbo: 0

249: raw: 688, soc: 36, lbo: 0

249: raw: 659, soc: 24, lbo: 0

250: raw: 687, soc: 36, lbo: 0

250: raw: 657, soc: 23, lbo: 0

251: raw: 687, soc: 36, lbo: 0

251: raw: 655, soc: 22, lbo: 0

252: raw: 686, soc: 35, lbo: 0

252: raw: 655, soc: 22, lbo: 0

253: raw: 686, soc: 35, lbo: 0

253: raw: 657, soc: 23, lbo: 0

254: raw: 686, soc: 35, lbo: 0

254: raw: 654, soc: 22, lbo: 0

255: raw: 685, soc: 35, lbo: 0

255: raw: 655, soc: 22, lbo: 0

256: raw: 685, soc: 35, lbo: 0

256: raw: 656, soc: 23, lbo: 0

257: raw: 684, soc: 35, lbo: 0

257: raw: 655, soc: 22, lbo: 0

258: raw: 683, soc: 34, lbo: 0

258: raw: 656, soc: 23, lbo: 0

259: raw: 683, soc: 34, lbo: 0

259: raw: 655, soc: 22, lbo: 0

260: raw: 683, soc: 34, lbo: 0

260: raw: 655, soc: 22, lbo: 0

261: raw: 682, soc: 34, lbo: 0

261: raw: 656, soc: 23, lbo: 0

262: raw: 682, soc: 34, lbo: 0

262: raw: 653, soc: 22, lbo: 0

263: raw: 681, soc: 33, lbo: 0

263: raw: 658, soc: 24, lbo: 0

