20.01.25
Start: Time: 08:07 OCV: 4.201V Load-V: 3.832V
End: Time: 20:05 OCV: 3.598V Load-V: 3.190V

0: raw: 829, voltage: 3.965, soc: 95, lbo: 1
193: raw: 768, voltage: 3.674, soc: 70, lbo: 0

194: raw: 789, voltage: 3.774, soc: 78, lbo: 0

194: raw: 767, voltage: 3.669, soc: 69, lbo: 0

195: raw: 788, voltage: 3.769, soc: 78, lbo: 0

195: raw: 767, voltage: 3.669, soc: 69, lbo: 0

196: raw: 788, voltage: 3.769, soc: 78, lbo: 0

196: raw: 767, voltage: 3.669, soc: 69, lbo: 0

197: raw: 788, voltage: 3.769, soc: 78, lbo: 0

197: raw: 767, voltage: 3.669, soc: 69, lbo: 0

198: raw: 788, voltage: 3.769, soc: 78, lbo: 0

198: raw: 767, voltage: 3.669, soc: 69, lbo: 0

199: raw: 788, voltage: 3.769, soc: 78, lbo: 0

199: raw: 767, voltage: 3.669, soc: 69, lbo: 0

200: raw: 788, voltage: 3.769, soc: 78, lbo: 0

200: raw: 766, voltage: 3.664, soc: 69, lbo: 0

201: raw: 787, voltage: 3.764, soc: 77, lbo: 0

201: raw: 765, voltage: 3.659, soc: 68, lbo: 0

202: raw: 787, voltage: 3.764, soc: 77, lbo: 0

202: raw: 766, voltage: 3.664, soc: 69, lbo: 0

203: raw: 787, voltage: 3.764, soc: 77, lbo: 0

203: raw: 766, voltage: 3.664, soc: 69, lbo: 0

204: raw: 787, voltage: 3.764, soc: 77, lbo: 0

204: raw: 765, voltage: 3.659, soc: 68, lbo: 0

205: raw: 787, voltage: 3.764, soc: 77, lbo: 0

205: raw: 766, voltage: 3.664, soc: 69, lbo: 0

206: raw: 786, voltage: 3.760, soc: 77, lbo: 0

206: raw: 766, voltage: 3.664, soc: 69, lbo: 0

207: raw: 786, voltage: 3.760, soc: 77, lbo: 0

207: raw: 765, voltage: 3.659, soc: 68, lbo: 0

208: raw: 786, voltage: 3.760, soc: 77, lbo: 0

208: raw: 765, voltage: 3.659, soc: 68, lbo: 0

209: raw: 786, voltage: 3.760, soc: 77, lbo: 0

209: raw: 765, voltage: 3.659, soc: 68, lbo: 0

210: raw: 786, voltage: 3.760, soc: 77, lbo: 0

210: raw: 764, voltage: 3.654, soc: 68, lbo: 0

211: raw: 786, voltage: 3.760, soc: 77, lbo: 0

211: raw: 764, voltage: 3.654, soc: 68, lbo: 0

212: raw: 786, voltage: 3.760, soc: 77, lbo: 0

212: raw: 764, voltage: 3.654, soc: 68, lbo: 0

